Zip,City,County,Type,Area,Value,Year
78725,Austin,Travis County,Suburban,East,125496.43,2017
78726,Austin,Travis County,Suburban,West,307951.67,2011
78726,Austin,Travis County,Suburban,West,308645.31,2012
78726,Austin,Travis County,Suburban,West,310099.02,2013
78726,Austin,Travis County,Suburban,West,313519.44,2014
78726,Austin,Travis County,Suburban,West,318168.42,2015
78726,Austin,Travis County,Suburban,West,323241.25,2016
78726,Austin,Travis County,Suburban,West,328536.9,2017
78727,Austin,Travis County,Suburban,North,174968.33,2011
78727,Austin,Travis County,Suburban,North,176027.08,2012
78727,Austin,Travis County,Suburban,North,177471.08,2013
78727,Austin,Travis County,Suburban,North,179881.02,2014
78727,Austin,Travis County,Suburban,North,183175.44,2015
78727,Austin,Travis County,Suburban,North,187452.5,2016
78727,Austin,Travis County,Suburban,North,192948.02,2017
78728,Austin,Travis County,Suburban,North,158528.89,2011
78728,Austin,Travis County,Suburban,North,159298.44,2012
78728,Austin,Travis County,Suburban,North,160558.82,2013
78728,Austin,Travis County,Suburban,North,162444.44,2014
78728,Austin,Travis County,Suburban,North,165320.61,2015
78728,Austin,Travis County,Suburban,North,168873.75,2016
78728,Austin,Travis County,Suburban,North,173048.02,2017
78729,Austin,Travis County,Suburban,North,177843.89,2011
78729,Austin,Travis County,Suburban,North,178451.56,2012
78729,Austin,Travis County,Suburban,North,179533.33,2013
78729,Austin,Travis County,Suburban,North,181362.04,2014
78729,Austin,Travis County,Suburban,North,184391.23,2015
78729,Austin,Travis County,Suburban,North,188136.25,2016
78729,Austin,Travis County,Suburban,North,192475.4,2017
78730,Austin,Travis County,Suburban,West,460247.78,2011
78730,Austin,Travis County,Suburban,West,460084.9,2012
78730,Austin,Travis County,Suburban,West,460748.04,2013
78730,Austin,Travis County,Suburban,West,462309.72,2014
78730,Austin,Travis County,Suburban,West,465688.6,2015
78730,Austin,Travis County,Suburban,West,471869.17,2016
78730,Austin,Travis County,Suburban,West,478117.46,2017
78731,Austin,Travis County,Suburban,West,390475,2011
78731,Austin,Travis County,Suburban,West,393008.33,2012
78731,Austin,Travis County,Suburban,West,396825.49,2013
78731,Austin,Travis County,Suburban,West,401113.43,2014
78731,Austin,Travis County,Suburban,West,405681.58,2015
78731,Austin,Travis County,Suburban,West,412121.67,2016
78731,Austin,Travis County,Suburban,West,418974.21,2017
78732,Austin,Travis County,Suburban,West,335676.11,2011
78732,Austin,Travis County,Suburban,West,338082.81,2012
78732,Austin,Travis County,Suburban,West,341041.18,2013
78732,Austin,Travis County,Suburban,West,345404.17,2014
78732,Austin,Travis County,Suburban,West,350473.25,2015
78732,Austin,Travis County,Suburban,West,355591.67,2016
78732,Austin,Travis County,Suburban,West,360558.33,2017
78733,Austin,Travis County,Suburban,West,418792.78,2011
78733,Austin,Travis County,Suburban,West,420215.62,2012
78733,Austin,Travis County,Suburban,West,422336.76,2013
78733,Austin,Travis County,Suburban,West,425406.94,2014
78733,Austin,Travis County,Suburban,West,429208.33,2015
78733,Austin,Travis County,Suburban,West,433884.17,2016
78733,Austin,Travis County,Suburban,West,439850.79,2017
78734,Lakeway,Travis County,Suburban,West,266543.33,2011
78734,Lakeway,Travis County,Suburban,West,267889.06,2012
78734,Lakeway,Travis County,Suburban,West,269976.47,2013
78734,Lakeway,Travis County,Suburban,West,272285.65,2014
78734,Lakeway,Travis County,Suburban,West,276287.72,2015
78734,Lakeway,Travis County,Suburban,West,280723.75,2016
78734,Lakeway,Travis County,Suburban,West,285479.76,2017
78735,Austin,Travis County,Suburban,West,364634.44,2011
78735,Austin,Travis County,Suburban,West,362669.79,2012
78735,Austin,Travis County,Suburban,West,363291.67,2013
78735,Austin,Travis County,Suburban,West,365702.31,2014
78735,Austin,Travis County,Suburban,West,369179.39,2015
78735,Austin,Travis County,Suburban,West,373470.42,2016
78735,Austin,Travis County,Suburban,West,377623.41,2017
78736,Austin,Travis County,Suburban,West,197620.56,2011
78736,Austin,Travis County,Suburban,West,198730.21,2012
78736,Austin,Travis County,Suburban,West,200600.49,2013
78736,Austin,Travis County,Suburban,West,203357.41,2014
78736,Austin,Travis County,Suburban,West,207178.95,2015
78736,Austin,Travis County,Suburban,West,212116.25,2016
78736,Austin,Travis County,Suburban,West,217866.67,2017
78737,Austin,Travis County,Suburban,South,287588.33,2011
78737,Austin,Travis County,Suburban,South,288884.38,2012
78737,Austin,Travis County,Suburban,South,290747.06,2013
78737,Austin,Travis County,Suburban,South,294056.02,2014
78737,Austin,Travis County,Suburban,South,298221.49,2015
78737,Austin,Travis County,Suburban,South,303225,2016
78737,Austin,Travis County,Suburban,South,308924.6,2017
78738,Bee Cave,Travis County,Suburban,West,393006.67,2011
78738,Bee Cave,Travis County,Suburban,West,394086.46,2012
78738,Bee Cave,Travis County,Suburban,West,396531.37,2013
78738,Bee Cave,Travis County,Suburban,West,399975.93,2014
78738,Bee Cave,Travis County,Suburban,West,403696.49,2015
78738,Bee Cave,Travis County,Suburban,West,407326.25,2016
78738,Bee Cave,Travis County,Suburban,West,410821.43,2017
78739,Austin,Travis County,Suburban,South,315453.33,2011
78739,Austin,Travis County,Suburban,South,315638.02,2012
78739,Austin,Travis County,Suburban,South,317660.29,2013
78739,Austin,Travis County,Suburban,South,321309.72,2014
78739,Austin,Travis County,Suburban,South,325612.72,2015
78739,Austin,Travis County,Suburban,South,330684.17,2016
78739,Austin,Travis County,Suburban,South,335957.94,2017
78741,Austin,Travis County,Urban,Central,117724.44,2011
78741,Austin,Travis County,Urban,Central,118576.56,2012
78741,Austin,Travis County,Urban,Central,119557.35,2013
78741,Austin,Travis County,Urban,Central,120854.63,2014
78741,Austin,Travis County,Urban,Central,122928.07,2015
78741,Austin,Travis County,Urban,Central,126678.75,2016
78741,Austin,Travis County,Urban,Central,130867.86,2017
78744,Austin,Travis County,Suburban,South,102343.33,2011
78744,Austin,Travis County,Suburban,South,102603.12,2012
78744,Austin,Travis County,Suburban,South,103205.88,2013
78744,Austin,Travis County,Suburban,South,104247.69,2014
78744,Austin,Travis County,Suburban,South,106060.53,2015
78744,Austin,Travis County,Suburban,South,108625.83,2016
78744,Austin,Travis County,Suburban,South,111934.52,2017
78745,Austin,Travis County,Suburban,South,152910.56,2011
78745,Austin,Travis County,Suburban,South,154148.44,2012
78745,Austin,Travis County,Suburban,South,156022.55,2013
78745,Austin,Travis County,Suburban,South,158441.2,2014
78745,Austin,Travis County,Suburban,South,161986.84,2015
78745,Austin,Travis County,Suburban,South,166688.75,2016
78745,Austin,Travis County,Suburban,South,172253.17,2017
78746,Austin,Travis County,Suburban,West,554360.56,2011
78746,Austin,Travis County,Suburban,West,556767.19,2012
78746,Austin,Travis County,Suburban,West,561798.04,2013
78746,Austin,Travis County,Suburban,West,569350.46,2014
78746,Austin,Travis County,Suburban,West,577975,2015
78746,Austin,Travis County,Suburban,West,588975.42,2016
78746,Austin,Travis County,Suburban,West,601979.76,2017
78747,Austin,Travis County,Suburban,South,157347.22,2011
78747,Austin,Travis County,Suburban,South,157723.44,2012
78747,Austin,Travis County,Suburban,South,158543.14,2013
78747,Austin,Travis County,Suburban,South,159973.61,2014
78747,Austin,Travis County,Suburban,South,162109.21,2015
78747,Austin,Travis County,Suburban,South,164895.83,2016
78747,Austin,Travis County,Suburban,South,168269.84,2017
78748,Austin,Travis County,Suburban,South,171917.22,2011
78748,Austin,Travis County,Suburban,South,172685.94,2012
78748,Austin,Travis County,Suburban,South,173943.14,2013
78748,Austin,Travis County,Suburban,South,176026.85,2014
78748,Austin,Travis County,Suburban,South,179066.67,2015
78748,Austin,Travis County,Suburban,South,182925,2016
78748,Austin,Travis County,Suburban,South,187001.19,2017
78749,Austin,Travis County,Suburban,South,218948.89,2011
78749,Austin,Travis County,Suburban,South,219933.33,2012
78749,Austin,Travis County,Suburban,South,221881.37,2013
78749,Austin,Travis County,Suburban,South,224762.04,2014
78749,Austin,Travis County,Suburban,South,228485.96,2015
78749,Austin,Travis County,Suburban,South,233100,2016
78749,Austin,Travis County,Suburban,South,238550.79,2017
78750,Austin,Travis County,Suburban,West,263381.11,2011
78750,Austin,Travis County,Suburban,West,264496.35,2012
78750,Austin,Travis County,Suburban,West,265999.51,2013
78750,Austin,Travis County,Suburban,West,268575.46,2014
78750,Austin,Travis County,Suburban,West,272515.35,2015
78750,Austin,Travis County,Suburban,West,277439.17,2016
78750,Austin,Travis County,Suburban,West,282987.3,2017
78751,Austin,Travis County,Urban,Central,243661.67,2011
78751,Austin,Travis County,Urban,Central,246007.81,2012
78751,Austin,Travis County,Urban,Central,249067.16,2013
78751,Austin,Travis County,Urban,Central,252773.61,2014
78751,Austin,Travis County,Urban,Central,258535.96,2015
78751,Austin,Travis County,Urban,Central,265399.58,2016
78751,Austin,Travis County,Urban,Central,272266.67,2017
78752,Austin,Travis County,Urban,Central,151844.44,2011
